auName,dayVaccinations,popID,DogsVaccinated
Population,0,6,18
Population,0,13,4
Population,0,15,1
Population,0,16,2
Population,0,17,6
Population,0,19,4
Population,0,20,1
Population,0,21,17
Population,0,22,48
Population,0,23,4
Population,0,24,13
Population,0,25,1
Population,0,30,1
Population,0,31,9
Population,0,32,7
Population,0,33,6
Population,0,34,4
Population,0,35,22
Population,0,36,1
Population,0,38,12
Population,0,39,15
Population,0,40,3
Population,0,41,4
Population,0,46,4
Population,0,50,4
Population,0,51,13
Population,0,52,21
Population,0,53,3
Population,0,54,5
Population,0,55,5
Population,0,58,4
Population,0,68,10
Population,0,69,3
Population,0,70,4
Population,0,71,7
Population,0,72,10
Population,0,73,11
Population,0,74,15
Population,0,75,4
Population,0,78,1
Population,0,79,1
Population,0,86,2
Population,0,87,1
Population,0,91,3
Population,0,100,14
Population,0,101,5
Population,0,104,5
Population,0,105,7
Population,0,106,5
Population,0,107,2
Population,0,108,4
Population,0,112,1
Population,0,113,5
Population,0,114,10
Population,0,115,8
Population,0,116,1
Population,0,119,8
Population,0,120,5
Population,0,121,7
Population,0,122,5
Population,0,125,2
Population,0,129,1
Population,0,130,7
Population,0,131,4
Population,0,133,7
Population,0,136,7
Population,0,137,18
Population,0,138,3
Population,0,139,5
Population,0,140,3
Population,0,141,1
Population,0,148,3
Population,0,153,6
Population,0,155,8
Population,0,156,3
Population,0,159,1
Population,0,162,1
Population,0,168,8
Population,0,169,3
Population,0,173,3
Population,0,179,9
Population,0,180,2
Population,0,181,4
Population,0,182,5
Population,0,186,4
Population,0,189,1
Population,0,190,5
Population,0,193,1
Population,0,194,14
Population,0,195,10
Population,0,196,1
Population,0,197,2
Population,0,201,3
Population,0,202,3
Population,0,204,1
Population,0,205,1
Population,0,206,7
Population,0,207,2
Population,0,208,2
Population,0,210,1
Population,0,213,1
Population,0,214,1
Population,0,221,9
Population,0,223,2
Population,0,224,12
Population,0,226,2
Population,0,227,13
Population,0,228,5
Population,0,229,6
Population,0,230,4
Population,0,231,4
Population,0,232,3
Population,0,233,3
Population,0,234,2
Population,0,237,1
Population,0,238,2
Population,0,241,2
Population,0,243,1
Population,0,245,1
Population,0,246,2
Population,0,247,2
Population,0,254,1
Population,0,260,1
Population,0,262,1
Population,0,263,2
