time, N, S, E, V, K, coverage
0.0,42958,42958,0,0,42970.45956607488,0.0
31.0,42954,37204,1,5749,43091.45167652869,0.1338408530055408
59.0,42900,37362,1,5537,43211.44378698233,0.12906759906759907
90.0,42988,37650,8,5330,43332.4358974361,0.123988089699451
120.0,43056,37915,3,5138,43454.42800788971,0.11933296172426608
151.0,43101,38137,5,4959,43576.42011834322,0.11505533514303612
181.0,43103,38338,1,4764,43703.41222879672,0.11052594946987448
212.0,43238,38632,1,4605,43831.40433925046,0.10650353855404968
243.0,43480,39029,3,4448,43954.39644970412,0.10229990800367986
273.0,43598,39306,2,4290,44076.388560157786,0.09839900912885913
304.0,43731,39593,3,4135,44206.380670611295,0.09455534975189225
334.0,43912,39924,3,3985,44332.372781065125,0.0907496811805429
365.0,43973,40130,4,3839,44460.364891518715,0.08730357264685147
396.0,44139,40420,16,3703,44582.35700197234,0.08389406194068737
424.0,44332,40759,14,3559,44707.349112426135,0.08028060994315618
455.0,44374,40947,27,3400,44837.34122287968,0.07662144499030964
485.0,44421,41126,16,3279,44958.33333333323,0.07381643817113527
516.0,44618,41436,22,3160,45096.32544378678,0.0708234344883231
546.0,44690,41530,14,3146,45218.31755424049,0.07039606175878273
577.0,44802,40845,10,3947,45347.309664694374,0.08809874559171466
608.0,44978,38837,19,6122,45478.30177514776,0.1361109875939348
638.0,45167,39244,10,5913,45610.293885601684,0.13091416299510705
669.0,45292,39607,8,5677,45747.28205128201,0.1253422237922812
699.0,45458,39980,6,5472,45873.274161735564,0.12037485151128514
730.0,45667,40379,3,5285,46009.26627218947,0.11572908226947248
761.0,45795,40695,4,5096,46145.258382643085,0.11127852385631619
790.0,45928,41011,6,4911,46268.2504930968,0.10692823549904198
821.0,46064,41347,6,4711,46406.24260355022,0.10227075373393539
851.0,46144,41600,14,4530,46539.23471400399,0.09817094313453537
882.0,46274,41901,19,4354,46673.226824457786,0.09409171456973678
912.0,46312,32047,20,14245,46806.21893491113,0.3075876662636034
943.0,46507,32222,13,14272,46945.20710059185,0.30687853441417423
974.0,46632,32936,9,13687,47079.19921104549,0.29351089380682793
1004.0,46779,33588,10,13181,47217.19132149899,0.28177173518031595
1035.0,46855,34175,8,12672,47355.183431952726,0.2704513925941735
1065.0,47072,34841,5,12226,47493.17554240632,0.2597297756628144
1096.0,47190,35433,8,11749,47629.16765285997,0.2489722398813308
1127.0,47351,36029,10,11312,47777.15581854041,0.23889674980465037
1155.0,47462,36519,9,10934,47901.147928994156,0.23037377270237241
1186.0,47534,36996,13,10525,48046.14003944774,0.22142045693608786
1216.0,47623,37431,14,10178,48179.132149901336,0.21372026121831889
1247.0,47640,37866,8,9766,48318.12426035497,0.20499580184718724
1277.0,47798,38400,10,9388,48461.11637080875,0.19640989162726474
1308.0,48044,38959,11,9074,48606.10453648931,0.18886853717425692
1339.0,48203,35406,10,12787,48747.09664694295,0.2652739456050453
1369.0,48370,34942,4,13424,48891.088757396494,0.27752739301219764
1400.0,48522,35646,3,12873,49036.080867850185,0.26530233708420925
1430.0,48756,36336,8,12412,49173.06903353052,0.2545737960456149
1461.0,48831,36889,7,11935,49324.06114398437,0.24441440887960517
1492.0,48962,37518,5,11439,49473.053254437735,0.23363016216657817
1520.0,49163,38100,4,11059,49605.045364891215,0.22494558916258162
1551.0,49300,38634,18,10648,49751.033530571854,0.21598377281947262
1581.0,49411,39169,15,10227,49897.02564102569,0.20697820323409766
1612.0,49627,39784,10,9833,50046.017751479376,0.19813811030285933
1642.0,49844,40391,8,9445,50187.00986193288,0.18949121258325977
1673.0,49879,40748,15,9116,50342.99802761318,0.1827622847290443
1704.0,50104,38345,16,11743,50491.99013806684,0.23437250518920644
1734.0,50224,37303,27,12894,50640.982248520624,0.2567298502707869
1765.0,50452,38024,24,12404,50787.97041420125,0.24585744866407674
1795.0,50613,38636,18,11959,50943.96252465477,0.23628316835595597
1826.0,50683,39182,18,11483,51086.95463510862,0.2265651204545903
1857.0,50802,39758,13,11031,51245.942800788944,0.2171371205858037
1885.0,50921,40263,8,10650,51385.93491124257,0.20914750299483514
1916.0,51065,40857,7,10201,51539.92702169623,0.19976500538529327
1946.0,51272,41444,14,9814,51691.91518737675,0.1914105164612264
1977.0,51434,41965,8,9461,51845.90729783034,0.18394447252789983
2007.0,51553,40212,6,11335,51998.89940828419,0.21987081256182958
2038.0,51745,35510,8,16227,52154.88757396455,0.31359551647502176
2069.0,51801,36199,7,15595,52311.87968441802,0.30105596417057584
2099.0,51932,36898,10,15024,52466.86785009851,0.2893013941307864
2130.0,52114,37651,6,14457,52619.85996055234,0.2774110603676555
2160.0,52181,38280,9,13892,52772.85207100584,0.2662271708092984
2191.0,52479,39112,8,13359,52938.840236686345,0.25455896644372034
2222.0,52626,39810,9,12807,53098.832347139985,0.24335879603237942
2251.0,52771,40415,6,12350,53252.82051282065,0.23403005438593166
