caseID,ParentID,popID,popName,dogCount,dogsE,dogsV,Th,Td,dogDensityK,dayGenerated,serialInterval,dayInfectious,infectiousPeriod,x_coord,y_coord,strainID,typeOfCase,nExcursions,nDistinctDogs,diedE,nAbandonments,nBitesE,nBitesV,nReinfections,nFailedTransmissions,nTransmissions,Symptoms.started,Month.symptoms.started,Quarter.symptoms.started
1,0,0,0,0,0,0,-1,-1,0,-1,-1,514,-1,691599.826816831,9799533.0669844,0,ENDOGENOUS,0,8,FALSE,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,-1,-1,0,514,-1,517,-1,690818.615184062,9799158.1091803,0,ENDOGENOUS,0,0,FALSE,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,-1,-1,0,514,-1,525,-1,691390.437081818,9797813.06764916,0,ENDOGENOUS,0,2,FALSE,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,-1,-1,0,514,-1,517,-1,691612.342242048,9798828.70434191,0,ENDOGENOUS,0,0,FALSE,0,0,0,0,0,0,0,0,0
7,3,0,0,0,0,0,-1,-1,0,-1,-1,557,-1,692008.441278607,9799171.3995865,0,ENDOGENOUS,0,0,FALSE,0,0,0,0,0,0,0,0,0
8,3,0,0,0,0,0,-1,-1,0,-1,-1,555,-1,690792.711600557,9798181.5846261,0,ENDOGENOUS,0,0,FALSE,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,-1,-1,0,-1,-1,531,-1,692348.28878954,9801860.22538471,0,ENDOGENOUS,0,1,FALSE,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,-1,-1,0,-1,-1,462,-1,700889.890266027,9802594.62868389,0,INCURSION,0,12,FALSE,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,-1,-1,0,-1,-1,393,-1,689555.29789428,9814991.18765671,0,ENDOGENOUS,0,0,FALSE,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,-1,-1,0,-1,-1,452,-1,687600.571491915,9810471.64020825,0,ENDOGENOUS,0,0,FALSE,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,-1,-1,0,-1,-1,527,-1,689561.793937465,9808428.75518523,0,ENDOGENOUS,0,0,FALSE,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,-1,-1,0,-1,-1,34,-1,694623.740680525,9805219.3211507,0,INCURSION,0,0,FALSE,0,0,0,0,0,0,0,0,0
15,10,0,0,0,0,0,-1,-1,0,462,-1,533,-1,695784.797236583,9802371.67294797,0,ENDOGENOUS,0,2,FALSE,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,-1,-1,0,-1,-1,360,-1,680640.991714094,9805742.84402948,0,ENDOGENOUS,0,6,FALSE,0,0,0,0,0,0,0,0,0
18,10,0,0,0,0,0,-1,-1,0,463,-1,520,-1,690893.71188974,9807180.75085841,0,ENDOGENOUS,0,0,FALSE,0,0,0,0,0,0,0,0,0
19,1,0,0,0,0,0,-1,-1,0,514,-1,540,-1,690485.276761899,9799440.90092216,0,ENDOGENOUS,0,0,FALSE,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,-1,-1,0,-1,-1,563,-1,692584.454158632,9801977.24285165,0,ENDOGENOUS,0,6,FALSE,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,-1,-1,0,-1,-1,513,-1,672176.925752109,9789375.34361622,0,INCURSION,0,1,FALSE,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,-1,-1,0,-1,-1,535,-1,667661.170362475,9797750.95726454,0,INCURSION,0,4,FALSE,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,-1,-1,0,-1,-1,435,-1,689860.209327069,9801572.49003244,0,ENDOGENOUS,0,0,FALSE,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,-1,-1,0,-1,-1,544,-1,686816.513512241,9800677.34445404,0,ENDOGENOUS,0,4,FALSE,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,-1,-1,0,-1,-1,499,-1,684305.97310928,9794015.28164345,0,ENDOGENOUS,0,1,FALSE,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,-1,-1,0,-1,-1,475,-1,681715.123265365,9794427.91203468,0,ENDOGENOUS,0,0,FALSE,0,0,0,0,0,0,0,0,0
