caseID,ParentID,popID,popName,dogCount,dogsE,dogsV,Th,Td,dogDensityK,dayGenerated,serialInterval,dayInfectious,infectiousPeriod,x_coord,y_coord,strainID,typeOfCase,nExcursions,nDistinctDogs,diedE,nAbandonments,nBitesE,nBitesV,nReinfections,nFailedTransmissions,nTransmissions,Symptoms.started,Month.symptoms.started,Quarter.symptoms.started
10,0,0,0,0,0,0,-1,-1,0,-1,0,462,0,700889.890266027,9802594.62868389,1,INCURSION,0,0,0,0,0,0,0,0,0,2003-04-08,0,0
14,0,0,0,0,0,0,-1,-1,0,-1,0,34,0,694623.740680525,9805219.3211507,2,INCURSION,0,0,0,0,0,0,0,0,0,2002-02-04,0,0
31,0,0,0,0,0,0,-1,-1,0,-1,0,513,0,672176.925752109,9789375.34361622,3,INCURSION,0,0,0,0,0,0,0,0,0,2003-05-29,0,0
33,0,0,0,0,0,0,-1,-1,0,-1,0,535,0,667661.170362475,9797750.95726454,4,INCURSION,0,0,0,0,0,0,0,0,0,2003-06-20,0,0
118,0,0,0,0,0,0,-1,-1,0,-1,0,379,0,698142.035308495,9790909.47796846,5,INCURSION,0,0,0,0,0,0,0,0,0,2003-01-15,0,0
131,0,0,0,0,0,0,-1,-1,0,-1,0,491,0,650553.779127713,9808243.37406962,6,INCURSION,0,0,0,0,0,0,0,0,0,2003-05-07,0,0
153,0,0,0,0,0,0,-1,-1,0,-1,0,287,0,698775.422925806,9793592.64685525,7,INCURSION,0,0,0,0,0,0,0,0,0,2002-10-15,0,0
180,0,0,0,0,0,0,-1,-1,0,-1,0,287,0,643493.193756851,9813033.03421391,8,INCURSION,0,0,0,0,0,0,0,0,0,2002-10-15,0,0
183,0,0,0,0,0,0,-1,-1,0,-1,0,586,0,649749.924297885,9824571.6412662,9,INCURSION,0,0,0,0,0,0,0,0,0,2003-08-10,0,0
193,0,0,0,0,0,0,-1,-1,0,-1,0,390,0,641054.12894843,9820096.39743915,10,INCURSION,0,0,0,0,0,0,0,0,0,2003-01-26,0,0
196,0,0,0,0,0,0,-1,-1,0,-1,0,390,0,641145.721519662,9821511.08380327,11,INCURSION,0,0,0,0,0,0,0,0,0,2003-01-26,0,0
212,0,0,0,0,0,0,-1,-1,0,-1,0,398,0,644110.435870644,9812492.65388001,12,INCURSION,0,0,0,0,0,0,0,0,0,2003-02-03,0,0
224,0,0,0,0,0,0,-1,-1,0,-1,0,595,0,687923.543013509,9815268.59900084,13,INCURSION,0,0,0,0,0,0,0,0,0,2003-08-19,0,0
231,0,0,0,0,0,0,-1,-1,0,-1,0,6,0,698319.399201916,9793833.49017559,14,INCURSION,0,0,0,0,0,0,0,0,0,2002-01-07,0,0
234,0,0,0,0,0,0,-1,-1,0,-1,0,134,0,695819.95479767,9793143.37940161,15,INCURSION,0,0,0,0,0,0,0,0,0,2002-05-15,0,0
238,0,0,0,0,0,0,-1,-1,0,-1,0,610,0,677156.286660626,9786152.1178738,16,INCURSION,0,0,0,0,0,0,0,0,0,2003-09-03,0,0
351,0,0,0,0,0,0,-1,-1,0,-1,0,630,0,662144.281844585,9772228.16560187,17,INCURSION,0,0,0,0,0,0,0,0,0,2003-09-23,0,0
357,0,0,0,0,0,0,-1,-1,0,-1,0,104,0,669882.967192114,9830424.08119592,18,INCURSION,0,0,0,0,0,0,0,0,0,2002-04-15,0,0
380,0,0,0,0,0,0,-1,-1,0,-1,0,683,0,653813.972424818,9810686.10394064,19,INCURSION,0,0,0,0,0,0,0,0,0,2003-11-15,0,0
401,0,0,0,0,0,0,-1,-1,0,-1,0,591,0,657427.48353781,9804830.63232786,20,INCURSION,0,0,0,0,0,0,0,0,0,2003-08-15,0,0
483,0,0,0,0,0,0,-1,-1,0,-1,0,591,0,680482.502449389,9796984.21900208,21,INCURSION,0,0,0,0,0,0,0,0,0,2003-08-15,0,0
881,0,0,0,0,0,0,-1,-1,0,-1,0,932,0,660407.984033429,9777111.53353457,22,INCURSION,0,0,0,0,0,0,0,0,0,2004-07-21,0,0
923,0,0,0,0,0,0,-1,-1,0,-1,0,350,0,668864.955343818,9829771.07134744,23,INCURSION,0,0,0,0,0,0,0,0,0,2002-12-17,0,0
928,0,0,0,0,0,0,-1,-1,0,-1,0,89,0,661160.321974884,9787701.02002717,24,INCURSION,0,0,0,0,0,0,0,0,0,2002-03-31,0,0
1064,0,0,0,0,0,0,-1,-1,0,-1,0,529,0,662058.547664251,9787572.30403601,25,INCURSION,0,0,0,0,0,0,0,0,0,2003-06-14,0,0
1066,0,0,0,0,0,0,-1,-1,0,-1,0,426,0,662479.581646942,9785391.87734441,26,INCURSION,0,0,0,0,0,0,0,0,0,2003-03-03,0,0
1069,0,0,0,0,0,0,-1,-1,0,-1,0,89,0,667266.286178079,9787058.67688846,27,INCURSION,0,0,0,0,0,0,0,0,0,2002-03-31,0,0
1072,0,0,0,0,0,0,-1,-1,0,-1,0,622,0,653432.166217042,9789145.35631007,28,INCURSION,0,0,0,0,0,0,0,0,0,2003-09-15,0,0
1105,0,0,0,0,0,0,-1,-1,0,-1,0,673,0,664356.067495917,9812478.6492,29,INCURSION,0,0,0,0,0,0,0,0,0,2003-11-05,0,0
1171,0,0,0,0,0,0,-1,-1,0,-1,0,575,0,648510.249448566,9796236.2334109,30,INCURSION,0,0,0,0,0,0,0,0,0,2003-07-30,0,0
1300,0,0,0,0,0,0,-1,-1,0,-1,0,857,0,642290.153488968,9814502.89688682,31,INCURSION,0,0,0,0,0,0,0,0,0,2004-05-07,0,0
1341,0,0,0,0,0,0,-1,-1,0,-1,0,297,0,686796.950369253,9803687.45295537,32,INCURSION,0,0,0,0,0,0,0,0,0,2002-10-25,0,0
1351,0,0,0,0,0,0,-1,-1,0,-1,0,886,0,686790.492785294,9763423.52591681,33,INCURSION,0,0,0,0,0,0,0,0,0,2004-06-05,0,0
1404,0,0,0,0,0,0,-1,-1,0,-1,0,782,0,654279.11118006,9784022.38773348,34,INCURSION,0,0,0,0,0,0,0,0,0,2004-02-22,0,0
1556,0,0,0,0,0,0,-1,-1,0,-1,0,718,0,662609.144941799,9799891.01713659,35,INCURSION,0,0,0,0,0,0,0,0,0,2003-12-20,0,0
1563,0,0,0,0,0,0,-1,-1,0,-1,0,888,0,652950.284648289,9799058.726393,36,INCURSION,0,0,0,0,0,0,0,0,0,2004-06-07,0,0
1611,0,0,0,0,0,0,-1,-1,0,-1,0,1131,0,671364.396753751,9786648.92748247,37,INCURSION,0,0,0,0,0,0,0,0,0,2005-02-05,0,0
