caseID,ParentID,popID,popName,dogCount,dogsE,dogsV,Th,Td,dogDensityK,dayGenerated,serialInterval,dayInfectious,infectiousPeriod,x_coord,y_coord,strainID,typeOfCase,nExcursions,nDistinctDogs,diedE,nAbandonments,nBitesE,nBitesV,nReinfections,nFailedTransmissions,nTransmissions,Symptoms.started,Month.symptoms.started,Quarter.symptoms.started
14,0,0,0,0,0,0,-1,-1,0,-1,0,34,0,694623.740680525,9805219.3211507,2,INCURSION,0,0,0,0,0,0,0,0,0,2002-02-04,0,0
153,0,0,0,0,0,0,-1,-1,0,-1,0,287,0,698775.422925806,9793592.64685525,7,INCURSION,0,0,0,0,0,0,0,0,0,2002-10-15,0,0
180,0,0,0,0,0,0,-1,-1,0,-1,0,287,0,643493.193756851,9813033.03421391,8,INCURSION,0,0,0,0,0,0,0,0,0,2002-10-15,0,0
231,0,0,0,0,0,0,-1,-1,0,-1,0,6,0,698319.399201916,9793833.49017559,14,INCURSION,0,0,0,0,0,0,0,0,0,2002-01-07,0,0
234,0,0,0,0,0,0,-1,-1,0,-1,0,134,0,695819.95479767,9793143.37940161,15,INCURSION,0,0,0,0,0,0,0,0,0,2002-05-15,0,0
357,0,0,0,0,0,0,-1,-1,0,-1,0,104,0,669882.967192114,9830424.08119592,18,INCURSION,0,0,0,0,0,0,0,0,0,2002-04-15,0,0
923,0,0,0,0,0,0,-1,-1,0,-1,0,350,0,668864.955343818,9829771.07134744,23,INCURSION,0,0,0,0,0,0,0,0,0,2002-12-17,0,0
928,0,0,0,0,0,0,-1,-1,0,-1,0,89,0,661160.321974884,9787701.02002717,24,INCURSION,0,0,0,0,0,0,0,0,0,2002-03-31,0,0
1069,0,0,0,0,0,0,-1,-1,0,-1,0,89,0,667266.286178079,9787058.67688846,27,INCURSION,0,0,0,0,0,0,0,0,0,2002-03-31,0,0
1341,0,0,0,0,0,0,-1,-1,0,-1,0,297,0,686796.950369253,9803687.45295537,32,INCURSION,0,0,0,0,0,0,0,0,0,2002-10-25,0,0
1930,0,0,0,0,0,0,-1,-1,0,-1,0,63,0,681957.646526779,9813607.43179114,39,INCURSION,0,0,0,0,0,0,0,0,0,2002-03-05,0,0
1957,0,0,0,0,0,0,-1,-1,0,-1,0,226,0,662251.016047688,9796851.80065163,41,INCURSION,0,0,0,0,0,0,0,0,0,2002-08-15,0,0
1977,0,0,0,0,0,0,-1,-1,0,-1,0,133,0,674178.1772958,9822799.98797219,43,INCURSION,0,0,0,0,0,0,0,0,0,2002-05-14,0,0
2175,0,0,0,0,0,0,-1,-1,0,-1,0,257,0,650117.924900667,9779541.85745202,52,INCURSION,0,0,0,0,0,0,0,0,0,2002-09-15,0,0
2243,0,0,0,0,0,0,-1,-1,0,-1,0,226,0,650474.850778782,9819844.97136056,53,INCURSION,0,0,0,0,0,0,0,0,0,2002-08-15,0,0
2650,0,0,0,0,0,0,-1,-1,0,-1,0,226,0,678132.586221133,9819216.50876173,63,INCURSION,0,0,0,0,0,0,0,0,0,2002-08-15,0,0
4285,0,0,0,0,0,0,-1,-1,0,-1,0,348,0,655082.894280774,9824023.53889381,130,INCURSION,0,0,0,0,0,0,0,0,0,2002-12-15,0,0
9051,0,0,0,0,0,0,-1,-1,0,-1,0,14,0,661590.789372956,9775190.42343022,185,INCURSION,0,0,0,0,0,0,0,0,0,2002-01-15,0,0
9056,0,0,0,0,0,0,-1,-1,0,-1,0,228,0,686157.890416508,9793698.34869266,186,INCURSION,0,0,0,0,0,0,0,0,0,2002-08-17,0,0
10938,0,0,0,0,0,0,-1,-1,0,-1,0,294,0,690196.255525588,9815172.04952011,214,INCURSION,0,0,0,0,0,0,0,0,0,2002-10-22,0,0
