si_pdist,dist_pdist,convolve,prune,cutoff,use_known,i.si_pdist,i.dist_pdist,i.convolve,i.prune,i.cutoff,i.use_known,prop_matching,same_dist,same_si,same_cutoff,same_convol,group_val
gamma,gamma,mixed,TRUE,0.95,TRUE,gamma,gamma,mixed,TRUE,0.95,TRUE,1,TRUE,TRUE,TRUE,TRUE,Both same
gamma,gamma,mixed,TRUE,0.975,TRUE,gamma,gamma,mixed,TRUE,0.95,TRUE,0.8186112423240435,TRUE,TRUE,FALSE,TRUE,Both same
gamma,lnorm,mixed,TRUE,0.95,TRUE,gamma,gamma,mixed,TRUE,0.95,TRUE,0.6646197449220596,TRUE,FALSE,TRUE,TRUE,Same DK
gamma,lnorm,mixed,TRUE,0.975,TRUE,gamma,gamma,mixed,TRUE,0.95,TRUE,0.6410014170996693,TRUE,FALSE,FALSE,TRUE,Same DK
gamma,weibull,mixed,TRUE,0.95,TRUE,gamma,gamma,mixed,TRUE,0.95,TRUE,0.7940481813887577,TRUE,FALSE,TRUE,TRUE,Same DK
gamma,weibull,mixed,TRUE,0.975,TRUE,gamma,gamma,mixed,TRUE,0.95,TRUE,0.73547472838923,TRUE,FALSE,FALSE,TRUE,Same DK
lnorm,gamma,mixed,TRUE,0.95,TRUE,gamma,gamma,mixed,TRUE,0.95,TRUE,0.8455361360415683,FALSE,TRUE,TRUE,TRUE,Same SI
lnorm,gamma,mixed,TRUE,0.975,TRUE,gamma,gamma,mixed,TRUE,0.95,TRUE,0.7468115257439774,FALSE,TRUE,FALSE,TRUE,Same SI
lnorm,lnorm,mixed,TRUE,0.95,TRUE,gamma,gamma,mixed,TRUE,0.95,TRUE,0.6221067548417573,FALSE,FALSE,TRUE,TRUE,Both different
lnorm,lnorm,mixed,TRUE,0.975,TRUE,gamma,gamma,mixed,TRUE,0.95,TRUE,0.5970713273500237,FALSE,FALSE,FALSE,TRUE,Both different
lnorm,weibull,mixed,TRUE,0.95,TRUE,gamma,gamma,mixed,TRUE,0.95,TRUE,0.7416154936230515,FALSE,FALSE,TRUE,TRUE,Both different
lnorm,weibull,mixed,TRUE,0.975,TRUE,gamma,gamma,mixed,TRUE,0.95,TRUE,0.6759565422768068,FALSE,FALSE,FALSE,TRUE,Both different
weibull,gamma,mixed,TRUE,0.95,TRUE,gamma,gamma,mixed,TRUE,0.95,TRUE,0.8927727916863486,FALSE,TRUE,TRUE,TRUE,Same SI
weibull,gamma,mixed,TRUE,0.975,TRUE,gamma,gamma,mixed,TRUE,0.95,TRUE,0.8049126121870571,FALSE,TRUE,FALSE,TRUE,Same SI
weibull,lnorm,mixed,TRUE,0.95,TRUE,gamma,gamma,mixed,TRUE,0.95,TRUE,0.6636750118091639,FALSE,FALSE,TRUE,TRUE,Both different
weibull,lnorm,mixed,TRUE,0.975,TRUE,gamma,gamma,mixed,TRUE,0.95,TRUE,0.6306093528578177,FALSE,FALSE,FALSE,TRUE,Both different
weibull,weibull,mixed,TRUE,0.95,TRUE,gamma,gamma,mixed,TRUE,0.95,TRUE,0.7775153519130845,FALSE,FALSE,TRUE,TRUE,Both different
weibull,weibull,mixed,TRUE,0.975,TRUE,gamma,gamma,mixed,TRUE,0.95,TRUE,0.7132735002361833,FALSE,FALSE,FALSE,TRUE,Both different
gamma,gamma,mixed,TRUE,0.95,TRUE,gamma,gamma,mixed,TRUE,0.975,TRUE,0.8186112423240435,TRUE,TRUE,FALSE,TRUE,Both same
gamma,gamma,mixed,TRUE,0.975,TRUE,gamma,gamma,mixed,TRUE,0.975,TRUE,1,TRUE,TRUE,TRUE,TRUE,Both same
gamma,lnorm,mixed,TRUE,0.95,TRUE,gamma,gamma,mixed,TRUE,0.975,TRUE,0.7033538025507794,TRUE,FALSE,FALSE,TRUE,Same DK
