detection,sim,mcc,majority,cutoff,tree_type,nobs
0.94,797,0,1,0.95,Majority,3009
0.94,797,0,1,0.95,Majority,3009
0.97,797,0,1,0.95,Majority,3009
0.97,797,0,1,0.95,Majority,3009
0.92,797,0,1,0.95,Majority,3009
0.94,797,0,1,0.95,Majority,3009
0.96,797,0,1,0.95,Majority,3009
0.95,797,0,1,0.95,Majority,3009
0.96,797,0,1,0.95,Majority,3009
0.97,797,0,1,0.95,Majority,3009
0.97,797,0,1,0.95,Majority,3009
0.96,797,0,1,0.95,Majority,3009
0.94,797,0,1,0.95,Majority,3009
0.96,797,0,1,0.95,Majority,3009
0.99,797,0,1,0.95,Majority,3009
0.96,797,0,1,0.95,Majority,3009
0.96,797,0,1,0.95,Majority,3009
0.95,797,0,1,0.95,Majority,3009
0.97,797,0,1,0.95,Majority,3009
0.96,797,0,1,0.95,Majority,3009
0.98,797,0,1,0.95,Majority,3009
0.94,797,0,1,0.95,Majority,3009
0.98,797,0,1,0.95,Majority,3009
0.98,797,0,1,0.95,Majority,3009
0.94,797,0,1,0.95,Majority,3009
0.97,797,0,1,0.95,Majority,3009
0.98,797,0,1,0.95,Majority,3009
0.95,797,0,1,0.95,Majority,3009
0.97,797,0,1,0.95,Majority,3009
0.94,797,0,1,0.95,Majority,3009
0.97,797,0,1,0.95,Majority,3009
0.96,797,0,1,0.95,Majority,3009
0.97,797,0,1,0.95,Majority,3009
0.96,797,0,1,0.95,Majority,3009
0.97,797,0,1,0.95,Majority,3009
0.97,797,0,1,0.95,Majority,3009
0.94,797,0,1,0.95,Majority,3009
0.93,797,0,1,0.95,Majority,3009
0.93,797,0,1,0.95,Majority,3009
0.98,797,0,1,0.95,Majority,3009
0.93,797,0,1,0.95,Majority,3009
0.96,797,0,1,0.95,Majority,3009
0.97,797,0,1,0.95,Majority,3009
0.98,797,0,1,0.95,Majority,3009
0.95,797,0,1,0.95,Majority,3009
0.94,797,0,1,0.95,Majority,3009
0.94,797,0,1,0.95,Majority,3009
0.96,797,0,1,0.95,Majority,3009
0.97,797,0,1,0.95,Majority,3009
0.97,797,0,1,0.95,Majority,3009
0.97,797,0,1,0.95,Majority,3009
0.93,797,0,1,0.95,Majority,3009
0.97,797,0,1,0.95,Majority,3009
0.95,797,0,1,0.95,Majority,3009
0.96,797,0,1,0.95,Majority,3009
0.97,797,0,1,0.95,Majority,3009
0.96,797,0,1,0.95,Majority,3009
0.98,797,0,1,0.95,Majority,3009
0.96,797,0,1,0.95,Majority,3009
0.97,797,0,1,0.95,Majority,3009
0.98,797,0,1,0.95,Majority,3009
0.95,797,0,1,0.95,Majority,3009
0.96,797,0,1,0.95,Majority,3009
0.96,797,0,1,0.95,Majority,3009
0.95,797,0,1,0.95,Majority,3009
0.99,797,0,1,0.95,Majority,3009
0.96,797,0,1,0.95,Majority,3009
0.96,797,0,1,0.95,Majority,3009
0.95,797,0,1,0.95,Majority,3009
0.99,797,0,1,0.95,Majority,3009
0.96,797,0,1,0.95,Majority,3009
0.93,797,0,1,0.95,Majority,3009
0.93,797,0,1,0.95,Majority,3009
0.97,797,0,1,0.95,Majority,3009
0.97,797,0,1,0.95,Majority,3009
0.97,797,0,1,0.95,Majority,3009
0.97,797,0,1,0.95,Majority,3009
0.94,797,0,1,0.95,Majority,3009
0.94,797,0,1,0.95,Majority,3009
0.95,797,0,1,0.95,Majority,3009
0.97,797,0,1,0.95,Majority,3009
0.96,797,0,1,0.95,Majority,3009
0.95,797,0,1,0.95,Majority,3009
0.97,797,0,1,0.95,Majority,3009
0.96,797,0,1,0.95,Majority,3009
0.99,797,0,1,0.95,Majority,3009
0.99,797,0,1,0.95,Majority,3009
0.99,797,0,1,0.95,Majority,3009
0.95,797,0,1,0.95,Majority,3009
0.93,797,0,1,0.95,Majority,3009
0.96,797,0,1,0.95,Majority,3009
0.97,797,0,1,0.95,Majority,3009
0.95,797,0,1,0.95,Majority,3009
0.94,797,0,1,0.95,Majority,3009
0.95,797,0,1,0.95,Majority,3009
0.97,797,0,1,0.95,Majority,3009
0.95,797,0,1,0.95,Majority,3009
0.97,797,0,1,0.95,Majority,3009
