Biter.ID,ID,Suspect,incursions_best_0.95,incursions_best_0.975
0,1,Yes,FALSE,FALSE
1,2,Yes,FALSE,FALSE
1,3,Yes,FALSE,FALSE
1,4,Yes,FALSE,FALSE
3,7,Yes,FALSE,FALSE
3,8,Yes,FALSE,FALSE
0,9,Yes,FALSE,FALSE
0,10,Yes,TRUE,TRUE
0,11,Yes,FALSE,FALSE
0,12,Yes,FALSE,FALSE
0,13,Yes,FALSE,FALSE
0,14,Yes,TRUE,TRUE
10,15,Yes,FALSE,FALSE
0,17,Yes,FALSE,FALSE
10,18,Yes,FALSE,FALSE
1,19,Yes,FALSE,FALSE
0,26,Yes,FALSE,FALSE
0,31,Yes,TRUE,TRUE
0,33,Yes,TRUE,TRUE
0,35,Yes,FALSE,FALSE
0,36,Yes,FALSE,FALSE
0,39,Yes,FALSE,FALSE
0,41,Yes,FALSE,FALSE
0,42,Yes,FALSE,FALSE
42,43,Yes,FALSE,FALSE
0,44,Yes,FALSE,FALSE
0,48,Yes,FALSE,FALSE
0,53,Yes,FALSE,FALSE
0,56,Yes,FALSE,FALSE
17,58,Yes,FALSE,FALSE
0,61,Yes,FALSE,FALSE
61,63,Yes,FALSE,FALSE
0,69,Yes,FALSE,FALSE
0,70,Yes,FALSE,FALSE
44,75,Yes,FALSE,FALSE
86,85,Yes,FALSE,FALSE
0,86,Yes,FALSE,FALSE
0,88,Yes,FALSE,FALSE
0,90,Yes,FALSE,FALSE
150,91,Yes,FALSE,FALSE
0,99,Yes,FALSE,FALSE
0,102,Yes,FALSE,FALSE
0,104,Yes,FALSE,FALSE
157,105,Yes,FALSE,FALSE
0,106,Yes,FALSE,FALSE
0,112,Yes,FALSE,FALSE
0,117,Yes,FALSE,FALSE
0,118,Yes,TRUE,FALSE
0,125,Yes,FALSE,FALSE
0,127,Yes,FALSE,FALSE
0,128,Yes,FALSE,FALSE
128,129,Yes,FALSE,FALSE
0,131,Yes,TRUE,FALSE
0,132,Yes,FALSE,FALSE
0,150,Yes,FALSE,FALSE
105,151,Yes,FALSE,FALSE
0,153,Yes,TRUE,TRUE
10,157,Yes,FALSE,FALSE
105,161,Yes,FALSE,FALSE
105,164,Yes,FALSE,FALSE
157,165,Yes,FALSE,FALSE
0,169,Yes,FALSE,FALSE
0,170,Yes,FALSE,FALSE
172,171,Yes,FALSE,FALSE
0,172,Yes,FALSE,FALSE
0,173,Yes,FALSE,FALSE
17,174,Yes,FALSE,FALSE
10,176,Yes,FALSE,FALSE
0,178,Yes,FALSE,FALSE
0,179,Yes,FALSE,FALSE
0,180,Yes,TRUE,TRUE
0,182,Yes,FALSE,FALSE
0,183,Yes,TRUE,TRUE
191,188,Yes,FALSE,FALSE
0,191,Yes,FALSE,FALSE
0,193,Yes,TRUE,TRUE
0,196,Yes,TRUE,TRUE
196,197,Yes,FALSE,FALSE
196,198,Yes,FALSE,FALSE
196,199,Yes,FALSE,FALSE
0,200,Yes,FALSE,TRUE
0,202,Yes,FALSE,FALSE
0,205,Yes,FALSE,FALSE
208,207,Yes,FALSE,FALSE
0,208,Yes,FALSE,FALSE
0,210,Yes,FALSE,FALSE
0,212,Yes,TRUE,FALSE
0,215,Yes,FALSE,FALSE
0,217,Yes,FALSE,FALSE
219,218,Yes,FALSE,FALSE
0,219,Yes,FALSE,FALSE
0,220,Yes,FALSE,FALSE
223,221,Yes,FALSE,FALSE
0,223,Yes,FALSE,FALSE
0,224,Yes,TRUE,FALSE
0,229,Yes,FALSE,FALSE
231,230,Yes,FALSE,FALSE
0,231,Yes,TRUE,TRUE
0,234,Yes,TRUE,TRUE
238,235,Yes,FALSE,FALSE
0,238,Yes,TRUE,FALSE
238,240,Yes,FALSE,FALSE
0,241,Yes,FALSE,FALSE
241,242,Yes,FALSE,FALSE
241,249,Yes,FALSE,FALSE
0,250,Yes,FALSE,FALSE
0,251,Yes,FALSE,FALSE
0,252,Yes,FALSE,FALSE
262,254,Yes,FALSE,FALSE
262,257,Yes,FALSE,FALSE
262,260,Yes,FALSE,FALSE
0,262,Yes,FALSE,FALSE
0,263,Yes,FALSE,FALSE
262,269,Yes,FALSE,FALSE
0,270,Yes,FALSE,FALSE
270,272,Yes,FALSE,FALSE
0,280,Yes,FALSE,FALSE
0,290,Yes,FALSE,FALSE
241,317,Yes,FALSE,FALSE
317,323,Yes,FALSE,FALSE
0,333,Yes,FALSE,FALSE
0,336,Yes,FALSE,FALSE
0,337,Yes,FALSE,FALSE
0,338,Yes,FALSE,FALSE
338,339,Yes,FALSE,FALSE
0,342,Yes,FALSE,FALSE
0,343,Yes,FALSE,FALSE
348,347,Yes,FALSE,FALSE
0,348,Yes,FALSE,FALSE
347,349,Yes,FALSE,FALSE
0,351,Yes,TRUE,TRUE
354,352,Yes,FALSE,FALSE
354,353,Yes,FALSE,FALSE
0,354,Yes,FALSE,FALSE
0,356,Yes,FALSE,FALSE
0,357,Yes,TRUE,TRUE
1298,358,Yes,FALSE,FALSE
361,360,Yes,FALSE,FALSE
0,361,Yes,FALSE,FALSE
366,365,Yes,FALSE,FALSE
0,366,Yes,FALSE,FALSE
0,367,Yes,FALSE,FALSE
0,369,Yes,FALSE,FALSE
0,370,Yes,FALSE,FALSE
372,371,Yes,FALSE,FALSE
0,372,Yes,FALSE,FALSE
0,380,Yes,TRUE,FALSE
380,381,Yes,FALSE,FALSE
380,384,Yes,FALSE,FALSE
380,385,Yes,FALSE,FALSE
380,388,Yes,FALSE,FALSE
0,394,Yes,FALSE,FALSE
0,395,Yes,FALSE,FALSE
401,400,Yes,FALSE,FALSE
0,401,Yes,TRUE,FALSE
455,453,Yes,FALSE,FALSE
0,454,Yes,FALSE,FALSE
0,455,Yes,FALSE,FALSE
457,456,Yes,FALSE,FALSE
0,457,Yes,FALSE,FALSE
0,458,Yes,FALSE,FALSE
474,471,Yes,FALSE,FALSE
0,474,Yes,FALSE,FALSE
238,477,Yes,FALSE,FALSE
0,479,Yes,FALSE,FALSE
0,482,Yes,FALSE,FALSE
0,483,Yes,TRUE,FALSE
483,484,Yes,FALSE,FALSE
0,485,Yes,FALSE,FALSE
485,486,Yes,FALSE,FALSE
0,490,Yes,FALSE,FALSE
0,494,Yes,FALSE,FALSE
496,495,Yes,FALSE,FALSE
0,496,Yes,FALSE,FALSE
0,497,Yes,FALSE,FALSE
1179,498,Yes,FALSE,FALSE
0,501,Yes,FALSE,FALSE
0,502,Yes,FALSE,FALSE
505,504,Yes,FALSE,FALSE
0,505,Yes,FALSE,FALSE
0,506,Yes,FALSE,FALSE
0,507,Yes,FALSE,FALSE
0,508,Yes,FALSE,FALSE
508,509,Yes,FALSE,FALSE
508,510,Yes,FALSE,FALSE
0,511,Yes,FALSE,FALSE
0,512,Yes,FALSE,FALSE
519,514,Yes,FALSE,FALSE
517,515,Yes,FALSE,FALSE
0,516,Yes,FALSE,FALSE
516,517,Yes,FALSE,FALSE
517,518,Yes,FALSE,FALSE
517,519,Yes,FALSE,FALSE
0,524,Yes,FALSE,FALSE
517,526,Yes,FALSE,FALSE
0,530,Yes,FALSE,FALSE
530,532,Yes,FALSE,FALSE
530,533,Yes,FALSE,FALSE
530,535,Yes,FALSE,FALSE
0,554,Yes,FALSE,FALSE
0,618,Yes,FALSE,FALSE
0,619,Yes,FALSE,FALSE
0,620,Yes,FALSE,FALSE
625,624,Yes,FALSE,FALSE
0,625,Yes,FALSE,FALSE
630,626,Yes,FALSE,FALSE
626,627,Yes,FALSE,FALSE
626,628,Yes,FALSE,FALSE
0,630,Yes,FALSE,FALSE
636,633,Yes,FALSE,FALSE
0,636,Yes,FALSE,FALSE
0,637,Yes,FALSE,FALSE
0,638,Yes,FALSE,FALSE
0,643,Yes,FALSE,FALSE
0,644,Yes,FALSE,FALSE
665,664,Yes,FALSE,FALSE
0,665,Yes,FALSE,FALSE
0,666,Yes,FALSE,FALSE
666,667,Yes,FALSE,FALSE
666,668,Yes,FALSE,FALSE
0,669,Yes,FALSE,FALSE
669,670,Yes,FALSE,FALSE
669,671,Yes,FALSE,FALSE
665,673,Yes,FALSE,FALSE
665,676,Yes,FALSE,FALSE
0,681,Yes,FALSE,FALSE
0,683,Yes,FALSE,FALSE
0,685,Yes,FALSE,FALSE
0,690,Yes,FALSE,FALSE
0,691,Yes,FALSE,FALSE
0,692,Yes,FALSE,FALSE
519,695,Yes,FALSE,FALSE
0,697,Yes,FALSE,FALSE
498,698,Yes,FALSE,FALSE
498,699,Yes,FALSE,FALSE
498,714,Yes,FALSE,FALSE
498,715,Yes,FALSE,FALSE
0,716,Yes,FALSE,FALSE
0,718,Yes,FALSE,FALSE
262,719,Yes,FALSE,FALSE
262,720,Yes,FALSE,FALSE
0,722,Yes,FALSE,FALSE
728,726,Yes,FALSE,FALSE
728,727,Yes,FALSE,FALSE
0,728,Yes,FALSE,FALSE
0,729,Yes,FALSE,FALSE
33,730,Yes,FALSE,FALSE
0,732,Yes,FALSE,FALSE
754,753,Yes,FALSE,FALSE
0,754,Yes,FALSE,FALSE
754,755,Yes,FALSE,FALSE
754,756,Yes,FALSE,FALSE
782,758,Yes,FALSE,FALSE
758,780,Yes,FALSE,FALSE
782,781,Yes,FALSE,FALSE
0,782,Yes,FALSE,FALSE
787,786,Yes,FALSE,FALSE
0,787,Yes,FALSE,FALSE
0,796,Yes,FALSE,FALSE
796,798,Yes,FALSE,FALSE
796,799,Yes,FALSE,FALSE
796,800,Yes,FALSE,FALSE
0,801,Yes,FALSE,FALSE
821,819,Yes,FALSE,FALSE
821,820,Yes,FALSE,FALSE
0,825,Yes,FALSE,FALSE
829,827,Yes,FALSE,FALSE
0,829,Yes,FALSE,FALSE
0,831,Yes,FALSE,FALSE
354,832,Yes,FALSE,FALSE
354,833,Yes,FALSE,FALSE
354,834,Yes,FALSE,FALSE
0,837,Yes,FALSE,FALSE
497,840,Yes,FALSE,FALSE
497,843,Yes,FALSE,FALSE
0,845,Yes,FALSE,FALSE
847,846,Yes,FALSE,FALSE
0,847,Yes,FALSE,FALSE
0,849,Yes,FALSE,FALSE
0,851,Yes,FALSE,FALSE
0,853,Yes,FALSE,FALSE
0,858,Yes,FALSE,FALSE
853,859,Yes,FALSE,FALSE
0,881,Yes,TRUE,FALSE
0,882,Yes,FALSE,FALSE
0,883,Yes,FALSE,FALSE
0,885,Yes,FALSE,FALSE
0,887,Yes,FALSE,FALSE
890,889,Yes,FALSE,FALSE
0,890,Yes,FALSE,FALSE
889,893,Yes,FALSE,FALSE
0,896,Yes,FALSE,FALSE
0,897,Yes,FALSE,FALSE
897,898,Yes,FALSE,FALSE
0,899,Yes,FALSE,FALSE
915,914,Yes,FALSE,FALSE
0,915,Yes,FALSE,FALSE
0,918,Yes,FALSE,FALSE
